[30.00 → 31.26]  ¿Ya pusiste a grabar?
[1412.89 → 1414.17]  les recuerdo el nombre,
[1414.77 → 1416.99]  finanzas para los financieros, ofrece
[1416.99 → 1419.19]  herramientas para el análisis politológico
[1419.19 → 1421.19]  basados en la comprensión de los elementos
[1421.19 → 1423.19]  conceptuales, teóricos e institucionales
[1423.73 → 1425.53]  de la administración financiera.
[1425.75 → 1427.49]  Las finanzas además de ser
[1427.49 → 1429.55]  una competencia fundamental para la vida
[1429.55 → 1431.19]  como lenguaje de las relaciones económicas
[1431.77 → 1433.23]  permite al futuro politólogo
[1433.23 → 1435.11]  y politóloga comprender la realidad
[1435.11 → 1436.77]  económica nacional e internacional
[1436.77 → 1439.13]  y poseer la base para
[1439.13 → 1441.19]  fortalecer las habilidades relacionadas
[1441.19 → 1442.89]  con la toma de decisiones financieras
[1442.89 → 1444.87]  que conlleven a un eficaz uso
[1444.87 → 1447.01]  de los recursos económicos, dotándose
[1447.01 → 1449.43]  de las experiencias de indemnizadores
[1449.43 → 1451.11]  para la eficaz presentación
[1451.11 → 1453.27]  de servicios de comunidad.
[1459.65 → 1460.87]  Conciertos, bueno,
[1461.21 → 1462.41]  conciertos básicos,
[1462.53 → 1465.01]  ya como las unidades que manejaría
[1467.11 → 1468.87]  se da como
[1468.87 → 1470.63]  una primera acercamiento a conciertos
[1470.63 → 1473.07]  básicos como consentaje, valor del dinero,
[1473.65 → 1475.43]  interés, tasa de interés, flujo de caja,
[1475.43 → 1477.39]  los cálculos, días de fechas,
[1478.17 → 1479.09]  interés simple,
[1479.65 → 1482.69]  interés compuestos, tasas de interés,
[1485.73 → 1487.25]  y luego
[1487.25 → 1489.39]  se revisan como temas de anualidad
[1489.39 → 1491.33]  de desamortización y evaluación financiera
[1491.33 → 1493.13]  de proyectos.
[1493.23 → 1495.47]  Nuevamente como los conceptos que se
[1495.47 → 1496.83]  revisarían
[1497.43 → 1499.73]  en ese aspecto.
[1500.99 → 1504.43]  Y como tal la bibliografía que se va a manejar.
[1510.89 → 1511.99]  La forma
[1511.99 → 1512.73]  de evaluación
[1512.73 → 1514.61]  se revisaría en tema de asistencia,
[1514.99 → 1516.11]  participación, talleres
[1516.11 → 1517.83]  y parciales,
[1517.91 → 1519.59]  lo que maturaría serían los pasales
[1519.59 → 1520.99]  en 55%
[1520.99 → 1522.35]  a la hora.
[1524.13 → 1524.85]  ¿Cuál es el nombre?
[1525.99 → 1527.11]  Finanzas para los financieros.
[1527.11 → 1527.93]  No, no, no.
[1528.47 → 1529.89]  Julio César.
[1530.81 → 1531.47]  Julio César.
[1531.47 → 1533.27]  Julio César Andrade.
[1533.27 → 1535.27]  Inglés de la Surcolombiana.
[1539.27 → 1541.15]  Tenemos una propuesta de Juan Pablo Camacho
[1541.15 → 1543.33]  Selly, Acción Política y Organización
[1543.33 → 1544.07]  Colectiva.
[1563.91 → 1565.65]  Él es politólogo,
[1565.83 → 1567.61]  magista en una investigación social
[1569.27 → 1569.95]  interdisciplinaria.
[1570.51 → 1572.01]  Entonces ya contiendo si es politólogo
[1572.01 → 1573.51]  de acá.
[1576.93 → 1578.65]  Sí señor, politólogo de acá,
[1578.77 → 1580.39]  y la maestría en investigación social
[1581.29 → 1583.27]  interdisciplinaria es de la distrital.
[1587.59 → 1588.59]  Tiene como
[1590.63 → 1593.15]  tiene experiencia como
[1593.15 → 1594.49]  profesional,
[1596.77 → 1597.55]  en analítica,
[1597.67 → 1599.13]  proyecto de Colombia,
[1599.97 → 1600.83]  en CODES,
[1600.97 → 1602.61]  hizo la pasantía,
[1605.73 → 1607.51]  pero no tiene experiencia
[1607.51 → 1612.43]  como usuario.
[1612.89 → 1614.27]  ¿Cómo se llama?
[1614.75 → 1616.27]  Juan Pablo Camacho Selly.
[1617.87 → 1618.57]  Esta es la propuesta que
[1618.57 → 1620.55]  él da Acción Política y Organización
[1620.55 → 1621.61]  Colectiva.
[1623.53 → 1624.89]  Se trata de un curso
[1624.89 → 1626.95]  que proporciona experiencias y conocimientos
[1626.95 → 1628.77]  de la acción política particular y
[1628.77 → 1631.05]  colectiva que pueden contribuir a la transformación
[1631.05 → 1632.03]  social del país
[1632.57 → 1634.63]  desde las perspectivas teóricas y
[1634.63 → 1636.31]  prácticas relacionadas en el que hacer
[1636.31 → 1637.89]  profesional politológico
[1638.57 → 1640.71]  y las situaciones y acontecimientos
[1640.71 → 1641.93]  sociales del siglo XX.
[1642.27 → 1644.39]  Él y la estudiante pueden realizar
[1644.39 → 1646.49]  la apropiación de las posibilidades de desarrollo
[1646.49 → 1648.81]  profesional como politólogos
[1648.81 → 1650.51]  que se puedan evidenciar a partir
[1650.51 → 1652.31]  de análisis de estructuras de producción,
[1652.43 → 1654.77]  poder, participación política que se presentan
[1654.77 → 1656.41]  durante el curso. Esta materia
[1656.41 → 1658.37]  busca ampliar y diversificar
[1658.37 → 1660.41]  formas de posicionarse en el ámbito
[1660.41 → 1662.41]  político promoviendo el compromiso de
[1662.41 → 1664.39]  una habilidad para el desarrollo profesional.
[1665.25 → 1666.95]  Se busca con el curso identificar
[1666.95 → 1668.65]  fundamentos teóricos y prácticos
[1668.65 → 1670.35]  de la acción colectiva y particular
[1670.35 → 1672.27]  que reconozcan la práctica como
[1672.27 → 1674.33]  un ejercicio consciente de la construcción
[1674.33 → 1676.63]  de la realidad, ampliándola y diversificar
[1676.63 → 1678.41]  las oportunidades de perspectiva
[1678.41 → 1679.75]  del que hacer profesional.
[1683.87 → 1686.53]  Entonces, como tal, la propuesta del programa
[1686.53 → 1688.39]  se basa en la semana
[1688.39 → 1690.19]  dos tener un acercamiento
[1690.19 → 1692.43]  a fundamentos de acción política y organización
[1692.43 → 1693.85]  colectiva.
[1698.27 → 1702.49]  Luego, la acción política y organización
[1702.49 → 1704.59]  colectiva desde la educación popular,
[1705.95 → 1706.91]  comunitarismo,
[1708.77 → 1710.79]  de acción política y organización colectiva
[1710.79 → 1712.49]  en grandes relatos,
[1714.03 → 1716.49]  acción política y organización
[1717.05 → 1718.17]  colectiva nuevamente
[1718.17 → 1720.61]  desde la educación popular
[1720.61 → 1724.57]  y acción política particular
[1724.57 → 1726.79]  en el tema de representación y políticas
[1726.79 → 1728.13]  públicas.
[1728.37 → 1730.49]  También le da una semana a
[1730.49 → 1732.19]  partidos políticos, acción política
[1732.19 → 1734.13]  particular y partidos políticos
[1734.13 → 1735.73]  en democracia.
[1738.05 → 1740.49]  Esta es la bibliografía que tendría.
[1754.55 → 1756.71]  En la formada evaluación tendría
[1756.71 → 1758.41]  un informe de proyecto que vale
[1758.41 → 1760.63]  40%, la asistencia tendría
[1760.63 → 1762.45]  de 15%,
[1762.45 → 1764.59]  juicio de 15% y tendría un tema
[1764.59 → 1766.41]  de reseño de 30%.
[1774.29 → 1776.41]  El estado es nuestro pero no tiene
[1777.03 → 1778.41]  experiencia docentes.
[1779.95 → 1782.41]  Tenemos la propuesta de Natalia Gaune y Juan
[1783.11 → 1783.99]  Carlos Vargas,
[1784.53 → 1786.53]  que ellos son los que actualmente tienen
[1788.43 → 1790.25]  una materia por nosotros.
[1790.93 → 1792.03]  De la anterior,
[1792.49 → 1794.41]  que no tiene experiencia, que desde acá
[1795.37 → 1796.49]  son monitores,
[1796.57 → 1797.81]  una cosa así.
[1810.41 → 1812.65]  Creo que fue por representante estudiantil,
[1814.07 → 1814.21]  ¿no?
[1814.21 → 1816.77]  Me parece que sí.
[1816.91 → 1818.09]  Pues relaciona
[1818.09 → 1819.83]  como unos reconocimientos,
[1820.35 → 1822.43]  por ejemplo en una ccpol,
[1823.27 → 1824.13]  fue ponente
[1824.13 → 1826.11]  en una ccpol que es una regala que
[1827.61 → 1828.33]  pertencemos,
[1832.35 → 1834.53]  pero no, pues por lo menos
[1834.53 → 1836.05]  no relaciona nada
[1836.05 → 1838.03]  de monitores,
[1840.63 → 1841.87]  incluso la pasantía en codes,
[1841.87 → 1843.91]  pero no,
[1843.91 → 1845.13]  de monitores no dice nada.
[1850.01 → 1851.81]  Me parece que sí está.
[1872.83 → 1874.79]  ¿Cuántas propuestas hay en Israel?
[1875.31 → 1875.87]  8 propias.
[1878.31 → 1879.87]  Sería escoger 3.
[1882.89 → 1883.87]  Juan Carlos es
[1888.79 → 1889.75]  polígono.
[1890.87 → 1894.55]  Él es politólogo nuestro,
[1894.83 → 1896.07]  tiene la experiencia con nosotros
[1896.07 → 1897.25]  de este año,
[1898.27 → 1899.37]  el 2024,
[1902.13 → 1904.27]  y actualmente es asesor
[1904.27 → 1906.29]  en el Consejo Superior de la Judicatura,
[1906.29 → 1907.87]  ha trabajado en
[1908.47 → 1909.81]  la Defensibilidad del Pueblo
[1909.81 → 1912.27]  y en el Ministerio
[1912.27 → 1913.87]  de Construcción.
[1920.75 → 1921.63]  Y
[1923.55 → 1925.87]  Nantalia es abogada,
[1929.61 → 1930.63]  tiene una especializa
[1930.63 → 1931.83]  en el Derecho Público
[1931.83 → 1933.35]  en la Universidad de Extremadura
[1933.35 → 1935.99]  y con el Amar en Derecho Internacional
[1935.99 → 1937.75]  y Derechos Humanos.
[1938.13 → 1939.67]  También ha sido docente
[1939.67 → 1941.29]  ocasional nuestra, esta es la materia
[1941.29 → 1943.33]  que están dictando ellos ahorita,
[1943.41 → 1945.35]  metodologías y herramientas
[1945.35 → 1948.55]  indicadores para políticas públicas.
[1957.57 → 1959.83]  Una propuesta que ellos presentan ahorita,
[1960.13 → 1961.63]  prácticas estratégicas y herramientas
[1961.63 → 1967.93]  de la gestión de políticas públicas.
[1970.45 → 1971.55]  ¿Cómo se llama?
[1972.45 → 1972.93]  ¿La materia?
[1973.95 → 1976.11]  Prácticas, estrategias y herramientas
[1976.11 → 1978.03]  de la gestión de políticas públicas.
[1978.35 → 1978.53]  ¿Cómo se llama?
[1978.53 → 1980.33]  Objetivo general, brindar herramientas
[1980.33 → 1982.17]  conceptuales, metodológicas y prácticas
[1982.17 → 1983.75]  para la elaboración y segmentación
[1983.75 → 1985.71]  políticas públicas.
[1985.91 → 1988.23]  Objetivos específicos, identificar las principales
[1988.23 → 1990.13]  metodologías y herramientas de planificación
[1990.13 → 1992.83]  y evaluación de políticas públicas y proyectos,
[1993.05 → 1994.47]  dominar y aplicar conceptos
[1994.47 → 1996.39]  fundamentales de diseño e indicadores
[1996.39 → 1998.39]  tanto cuantitativos como cualitativos,
[1998.65 → 2000.47]  reconocer y utilizar de manera
[2000.47 → 2002.13]  básica zombar de bases de datos
[2002.13 → 2004.37]  cuantitativos y cualitativos esenciales
[2004.37 → 2006.33]  para el proceso de diagnóstico,
[2006.33 → 2008.01]  análisis y formulación y seguimiento
[2008.01 → 2010.55]  y políticas públicas de proyectos
[2010.55 → 2012.89]  y aplicar a través de ejercicios
[2012.89 → 2014.15]  prácticos la metodología
[2014.15 → 2016.39]  e instrumentos apuntados en situaciones
[2016.39 → 2018.81]  reales para la análisis y la gestión.
[2051.15 → 2054.19]  Bien, los contenidos básicos.
[2055.19 → 2056.69]  Entonces un contexto de la acción
[2056.69 → 2058.89]  de estado y la planeación pública
[2058.89 → 2059.71]  en Colombia.
[2061.71 → 2062.81]  Allí mismo se vería
[2062.81 → 2064.69]  políticas públicas de definición,
[2064.83 → 2066.11]  alcance de actores,
[2066.27 → 2066.31]  de diseñamiento de la planificación
[2066.31 → 2070.31]  marcos metodológicos para diseñar políticas públicas.
[2072.21 → 2077.21]  Luego se revisaría un tema de nuevas tendencias sobre políticas públicas centralizadas en personas
[2077.21 → 2082.07]  como el gobierno de innovación, definición y anóscito de un problema público,
[2082.85 → 2088.09]  importancia de los datos y la información de política pública para distribuir y caracterizar fenómenos,
[2088.43 → 2093.77]  investigación cuantitativa, medidas de tendencia e índices,
[2093.77 → 2098.85]  técnicas de investigación cuantitativa o no todo esto sería como un tema de investigación.
[2100.29 → 2106.11]  Cadena de valor, un tema de acuerdos objetivos, actividades, productos y teorías del cambio,
[2108.43 → 2113.05]  modelos para el seguimiento monitoreado y evaluación de políticas públicas,
[2113.27 → 2118.43]  tipo de formulación de indicadores, actores externos que impactan en política pública
[2118.43 → 2124.15]  y por último un tema de ventanas de oportunidades para proyectar y comunicar la política.
[2124.43 → 2130.17]  Esta es la bibliografía básica que se manejaría en el curso.
[2147.65 → 2152.43]  Y la forma de evaluación tendría debates grupales,
[2152.53 → 2156.35]  juices, talleres grupales, ejercicio de manejo de datos,
[2157.27 → 2160.15]  tiene tres entregas sobre un documental,
[2160.15 → 2164.51]  y un taller grupal de categorías.
[2197.93 → 2200.83]  Es economista en la Universidad de Nariño,
[2201.09 → 2204.73]  tiene un máster en diseño, gestión y dirección de proyectos,
[2205.17 → 2207.31]  y un máster en economía.
[2208.97 → 2210.61]  No ha sido profesor nuestro,
[2214.11 → 2218.39]  ha estado vinculado a la Universidad external como conferencista ocasional,
[2218.39 → 2223.49]  tiene como docente del seminario de evaluación económica de adquisiciones públicas
[2223.49 → 2227.95]  y tiene su trayectoria profesional
[2227.95 → 2233.89]  en la Agencia Nacional de Contratación, en la Alsandía, Bogotá.
[2234.39 → 2236.67]  También ha trabajado en la Usadita.
[2242.95 → 2245.63]  La experiencia que tiene como docente
[2245.63 → 2246.67]  es en el external.
[2248.87 → 2249.89]  ¿Cuánto tiempo?
[2254.17 → 2256.97]  Dice el profe.
[2261.11 → 2262.49]  Conferencista ocasional no dice
[2262.49 → 2264.85]  ¿Cuánto tiempo específicamente de docente?
[2273.51 → 2276.99]  La propuesta, planificación gubernamental y herramientas
[2276.99 → 2282.35]  para la identificación de variables clave en proyectos y políticas públicas.
[2282.89 → 2285.99]  Objetivos, generar estrategias de identificación de variables
[2285.99 → 2290.35]  que tienen un impacto significativo en el futuro en un proyecto de política pública.
[2291.61 → 2296.39]  Objetivos específicos, conocer los fundamentos de planeación pública en Colombia,
[2296.79 → 2301.23]  identificar objetivos generales específicos, productos y actividades de un proyecto
[2301.23 → 2307.13]  o política pública susceptible de ser llevada a la práctica en base a la planificación
[2307.13 → 2310.99]  prospectiva y conocer y utilizar herramientas técnicas de planificación
[2311.28 → 2316.08]  por perspectiva para la categorización de variables
[2316.08 → 2325.58]  en base a los cálculos de influencias y dependencia de matriz de impactos cruzados.
[2326.28 → 2331.22]  Contenidos básicos, un tema de fundamentación de aspectos de planificación en Colombia,
[2331.84 → 2336.50]  fundamentación sobre políticas y proyectos públicos.
[2336.50 → 2341.20]  Allí se ve el árbol de problemas efectivos, definición de intervención de política pública
[2341.20 → 2346.30]  en cadena de valor, asentamiento a la planificación prospectiva,
[2346.86 → 2351.50]  el tema de identificación de variables que tienen un impacto significativo en el futuro proyecto,
[2352.82 → 2356.98]  herramientas tecnológicas de planificación prospectiva para la categorización de variables
[2356.98 → 2361.12]  a los cálculos de influencias, identificación de variables
[2361.12 → 2364.38]  y un sistema de interacciones prospectivas.
[2366.76 → 2371.92]  Tiene un ejercicio, temas de ejercicios prácticos que es la elaboración de matriz de impactos cruzados,
[2372.06 → 2376.72]  elaboración de árbol de problemas, definición de indicadores y una definición de variables
[2376.72 → 2380.76]  y esta es la bibliografía básica que presenta.
[2389.14 → 2394.64]  Y en temas de evaluación, aquí tendrán unos talleres que ya los nombramos
[2394.64 → 2404.16]  y unos cuises, que son los cuises representativos del 10% del árbol.
[2408.28 → 2410.74]  Tenemos a Juan Camilo Lozada, ya vamos a verlo.
[2410.74 → 2432.34]  Juan Camilo está cursando una maestría en Políticas Públicas de acá
[2432.34 → 2435.24]  y es político ingresado de acá de la universidad.
[2443.32 → 2447.08]  Tiene una experiencia en la Facultad de Ciencias Económicas
[2447.08 → 2449.86]  como docente de un curso de extensión
[2450.92 → 2455.74]  y su trayectoria profesional en las cantidades de cruzadas globales.
[2470.08 → 2474.10]  El nombre de la asignatura, asociatividad territorial
[2474.10 → 2479.58]  y participación ciudadana a reflexiones sobre la cooperación en tiempo de individualismo.
[2481.64 → 2484.28]  Objetivo general, comprendería analizar críticamente
[2484.28 → 2485.92]  los procesos de asociatividad territorial y participación ciudadana
[2486.88 → 2490.74]  como herramientas para fortalecer la planificación pública
[2490.74 → 2495.92]  y construir alternativas de desarrollo inclusivas y sostenibles.
[2496.56 → 2500.10]  Específico, identificar los fundamentos históricos y conceptuales
[2500.10 → 2505.18]  de asociatividad territorial, explorar experiencias internacionales y nacionales
[2505.18 → 2510.20]  que ilustren éxitos y desafíos en procesos asociativos, analizar la normatividad
[2510.20 → 2514.42]  con la asociatividad territorial y participación ciudadana
[2514.42 → 2521.20]  y promover estrategias innovadoras de fomentar la participación ciudadana en procesos asociativos.
[2523.12 → 2526.62]  El contenido de la asignatura, introducción sobre procesos fundamentales
[2526.62 → 2531.56]  asociatividad, participación y desarrollo, la asociatividad como la historia humana
[2531.56 → 2536.12]  desde las primeras comunidades hasta las organizaciones internacionales, asociatividad
[2536.12 → 2541.32]  de la Comunidad Internacional, casos del Grupo Europeo, contextos regionales
[2541.32 → 2546.12]  de asociatividad territorial, participación ciudadana y su papel en la asociatividad,
[2549.30 → 2550.84]  análisis crítico y
[2550.84 → 2552.02]  proyección.
[2554.98 → 2560.64]  Y una unidad de cierre que es una evaluación final y proyección.
[2564.14 → 2571.74]  Hay una grafía que se manejaría en la clase.
[2583.06 → 2590.62]  Forma de evaluación, participación del debate
[2590.62 → 2595.32]  primero el 25%, participación en un segundo debate del 25%
[2595.32 → 2600.62]  y una evaluación final correspondiente del 50%.
[2610.92 → 2612.60]  La penúltima.
[2651.54 → 2653.10]  Tiene experiencia
[2653.10 → 2654.62]  en la Sociedad de Dictivos Especiales
[2656.98 → 2661.28]  y a la Vicerreutería de Investigación de Cadena de la Universidad
[2661.28 → 2663.62]  y en de Justicia.
[2664.36 → 2669.58]  No tiene, por lo que veo, trayectoria académica
[2669.58 → 2670.52]  si no hay experiencia.
[2678.42 → 2679.86]  Objetivo general,
[2680.24 → 2680.90]  brindar
[2684.36 → 2688.40]  curso introductorio sobre el canal de discusiones políticas, aspectos
[2688.40 → 2693.90]  regulatorios y técnicos. Objetivo general, brindar a los estudiantes
[2693.90 → 2698.62]  una aproximación general a los aspectos jurídicos, técnicos y políticos
[2698.62 → 2703.32]  relacionados con los diferentes usos de la falta de cannabis desde una perspectiva
[2703.32 → 2707.72]  interdisciplinaria a partir del diálogo de saberes y experiencias colectivas de actores
[2708.62 → 2713.10]  académicos, sociales y económicos y estatales que intervienen en la industria
[2713.10 → 2714.30]  mecánica del cannabis.
[2718.12 → 2722.72]  Tendría un tema de evaluación con unos cuises semanales de 40%
[2722.72 → 2728.72]  de la nota final, una bitácora de visitas,
[2729.52 → 2733.72]  el 30% en el informe de investigación, el salió crítico video, el 30%.
[2734.96 → 2738.72]  Los contenidos antecedentes históricos sobre la relación
[2738.72 → 2741.16]  de la humanidad con la planta del cannabis.
[2752.54 → 2755.50]  Problemáticas soci jurídicas asociadas al enfoque
[2755.50 → 2759.64]  prohibicionista, el uso medicinal de la planta del cannabis,
[2760.02 → 2764.10]  régimen de licenciamiento del cannabis, decreto reglamentario
[2764.10 → 2766.24]  811 en dos mil seducciones,
[2769.00 → 2771.14]  retos regulatorios de ida política,
[2776.08 → 2778.58]  logración cosecha y post cosecha,
[2778.88 → 2781.24]  transformación de derivados,
[2781.86 → 2786.34]  visitas de los invernaderos de prácticas de cannabis,
[2787.42 → 2790.90]  actores empresariales y emprendimientos del sector de cannabis,
[2791.40 → 2795.98]  cannabis como planta sagrada y unas conclusiones del cierre del curso.
[2795.98 → 2799.78]  Aquí está la bibliografía que se maniaca.
[2807.94 → 2813.74]  Y por último, tenemos Bogotá, democracia y políticas públicas,
[2813.86 → 2816.30]  que esta materia se está presentando actualmente.
[2824.12 → 2827.54]  Alexander es cliente de políticas públicas,
[2827.74 → 2831.48]  politólogo de acá, con especialización en finanzas
[2832.40 → 2836.12]  de la Universidad del Rosario.
[2841.34 → 2845.22]  El coedicario de la materia de comunicación de políticas públicas
[2846.22 → 2852.82]  con el portal Hammer y trabaja en la Secretaría Institutal de Gobierno
[2852.82 → 2857.92]  coordinando el área gestante de desarrollo local y planeación.
[2860.14 → 2864.22]  La propuesta que plantea Bogotá en un placer de políticas públicas
[2865.66 → 2869.64]  tiene como objetivo analizar las dinámicas del gobierno urbano
[2869.64 → 2872.46]  y desarrollo de políticas públicas en Bogotá,
[2872.46 → 2876.68]  integrando enfoques teóricos contemporáneos y perspectivas comparadas
[2876.68 → 2880.16]  para promover un análisis crítico sobre la toma de decisiones
[2880.16 → 2885.72]  y sus implicaciones en un contexto urbano.
[2886.46 → 2891.24]  Contenidos básicos, ciudades en América Latina,
[2891.62 → 2895.70]  Bogotá y administración pública, introducción a las políticas públicas,
[2896.02 → 2898.72]  teoría relacionada y análisis posteoeneficio,
[2898.72 → 2901.18]  enfoques pluralistas de interés global,
[2902.04 → 2906.66]  teoría de la elección pública, ciclo de políticas públicas,
[2906.92 → 2910.04]  enfoque institucional, enfoque gobernantes y redes,
[2910.94 → 2916.34]  enfoque teoría constructivista, políticas basadas en la evidencia,
[2916.74 → 2920.86]  perspectivas sobre el gobierno urbano y una evaluación financiera.
[2922.60 → 2925.86]  La bibliografía se manejaría.
[2934.98 → 2939.16]  Y la forma de evaluación, tendrían 3% de asistencia,
[2939.78 → 2943.32]  quizes del 30%, talleres en grupo del 30%,
[2943.32 → 2948.58]  ensayos de 12 entregas, la primera con el 10%
[2948.58 → 2951.46]  y la segunda con el 20% de la número.
[2952.46 → 2957.04]  Esas son las propuestas en el área de gobierno de políticas públicas.
[2957.40 → 2958.92]  No sé si a cómo les llamó la atención.
[2961.56 → 2965.58]  La gracia sería que se escogieran de estas ocho propuestas, tres.
[2968.60 → 2973.70]  Dice que lo hizo el dicho y baila en ese trompo en la unión.
[2975.10 → 2977.72]  Creo que el de prácticas y estrategias,
[2977.72 → 2980.92]  creo que hubo consenso en el que esa materia nos gustó a todos,
[2980.98 → 2985.92]  nos pareció interesante, entonces creo que esa ya...
[2985.92 → 2989.58]  Bueno, también lo bueno es que ellos ya tienen experiencia con nosotros.
[2991.20 → 2993.46]  Sí, ellos ya han tenido experiencia también.
[2994.34 → 2998.24]  Se puede ser un quitario los que ya han tenido y están bien evaluados.
[3000.04 → 3000.50]  Dímelo.
[3000.50 → 3001.38]  Le tengo una duda.
[3001.70 → 3004.50]  ¿Es que el curso del cannabis nos está ocultando este semestre luego?
[3005.78 → 3008.62]  Desde ciencia política no se ofertó.
[3010.08 → 3014.08]  ¿Quién sabe si se ofertó desde otra y a ver si no sabría?
[3014.72 → 3017.56]  Es que estoy segura que incluso no le describí.
[3017.80 → 3019.30]  Está como que...
[3019.86 → 3022.58]  ¿No necesitas política en las programas en este semestre?
[3022.82 → 3024.18]  No, no estaba.
[3024.30 → 3027.62]  Tocaría buscar la policía porque en las programas en nuestras no.
[3027.62 → 3031.78]  Pero sí, estoy siempre segura porque yo le he describido.
[3032.20 → 3034.06]  Entonces no sé, ¿puede mirar si es el mismo profe?
[3034.14 → 3035.96]  O bueno, voy a buscar cómo es la materia.
[3036.38 → 3039.12]  Eres un adulto. Voy a buscar algo.
[3042.20 → 3046.26]  Igual de acá, que tenga experiencia docente.
[3050.26 → 3052.42]  Creo que Camila tenía experiencia docente,
[3052.52 → 3055.14]  David Leonardo también tenía experiencia docente, ¿ya?
[3058.62 → 3062.98]  A mi me gusta mucho la asociatividad territorial y participación.
[3067.54 → 3069.58]  Podemos volverla a ver si quieren.
[3069.58 → 3070.28]  Ahí está.
[3073.58 → 3074.46]  ¿Quién lo conoce?
[3086.54 → 3088.26]  Es ésta.
[3091.88 → 3092.56]  ¿Lo conoce?
[3093.58 → 3094.66]  ¿Es el chico de narillo?
[3095.64 → 3097.64]  No, es de Lozano, ¿no?
[3097.64 → 3098.54]  Sí.
[3102.32 → 3104.64]  Van caminando a Lozano.
[3110.88 → 3113.18]  Él está estudiando la maestría de acá.
[3113.94 → 3114.70]  ¿Ah, la maestría de acá?
[3115.44 → 3119.94]  Sí, lo está guiando el profesor Miguel Ángel.
[3120.40 → 3121.54]  Y es bonito lo que hay acá.
[3121.64 → 3123.58]  Pues al estar estudiando maestría,
[3124.06 → 3125.48]  podemos vincularlo con vocación.
[3127.08 → 3131.70]  Y lo único es que él dictó un curso en ciencias humanas,
[3132.02 → 3133.48]  pero fue un curso de extensión.
[3133.86 → 3135.44]  O sea, como talento pregrado o eso,
[3137.36 → 3140.80]  no tiene experiencia como para que lo tenga.
[3146.40 → 3149.66]  Tienes razón, pero no la están dictando en ciencia política,
[3149.82 → 3150.36]  sino en derecho.
[3152.32 → 3153.84]  ¿Y es el mismo profesor?
[3155.48 → 3156.00]  Eh...
[3161.98 → 3162.50]  Dice...
[3162.50 → 3163.70]  Y es el mismo, vamos.
[3164.64 → 3165.72]  Entonces, por eso con ciencias.
[3173.04 → 3174.14]  ¿Qué quieren mirar?
[3174.30 → 3175.66]  ¿Revisamos nuevamente los contenidos?
[3175.74 → 3177.30]  Creo que eran las programas donde había hecho,
[3177.78 → 3178.92]  entonces ya parecido.
[3179.70 → 3182.44]  Pues, Diego David Aldana Carrillo.
[3182.44 → 3184.56]  No, ese es otro.
[3184.82 → 3187.22]  Este es Brian Aldo.
[3187.54 → 3188.62]  Pero si tienen dimonordio.
[3189.10 → 3190.58]  Un curso de introductores sobre cannabis,
[3190.84 → 3192.44]  aspectos reguladores, sociales y técnicos.
[3194.54 → 3195.78]  Bueno, parecido.
[3195.78 → 3199.08]  ¿Será que son del mismo grupo de investigación?
[3199.18 → 3199.96]  De pronto.
[3201.54 → 3212.42]  Porque él decía que...
[3213.88 → 3215.04]  ¿Como referencia?
[3215.12 → 3216.42]  Como referencia.
[3219.16 → 3220.42]  Bueno, yo quiero estudiarlo.
[3225.18 → 3227.48]  No hay propuestas de profesoras, ¿no?
[3228.26 → 3229.34]  Solamente hay una.
[3229.50 → 3231.18]  Solamente la que ya se ha escogido.
[3233.08 → 3233.56]  Esta.
[3234.76 → 3235.62]  La primera propuesta.
[3235.74 → 3238.02]  La primera propuesta.
[3238.16 → 3239.16]  Están tocando la puerta.
[3239.78 → 3240.88]  No, mira, Andrea.
[3241.04 → 3242.98]  Introducción a la identificación y preparación
[3242.98 → 3244.04]  de proyectos de desarrollo.
[3244.40 → 3246.92]  Pues, hay varios que son de proyectos.
[3247.26 → 3249.16]  Estas de proyectos.
[3253.42 → 3259.32]  Porque esa es de proyecto.
[3259.92 → 3261.08]  Y hay otra de proyecto
[3261.08 → 3262.42]  que si no estoy mal es esta.
[3263.68 → 3265.70]  Que este es el profesor de la Ciudad Colombiana.
[3269.16 → 3270.60]  Si quieren algo de proyectos,
[3270.70 → 3272.18]  ¿podríamos esconder entre los dos?
[3272.74 → 3275.46]  Me dejaría otra, es el del profesor de la Ciudad Colombiana.
[3275.82 → 3276.80]  Del profesor de la Ciudad Colombiana?
[3276.84 → 3278.50]  Sí, el plan de estudio.
[3287.52 → 3289.72]  Lo importante es que haya criterios, ¿no?
[3291.38 → 3293.04]  Porque, pues,
[3293.08 → 3294.30]  todas parecen interesantes.
[3294.72 → 3296.56]  Moda le puede gustar más a unos que a otros.
[3297.22 → 3299.04]  Pero eso no puede ser el punto tampoco.
[3299.56 → 3300.56]  Porque hay que tener cierta
[3303.06 → 3305.06]  desarrollar cierto juicio de
[3305.06 → 3306.56]  Ciudad con respecto a las propuestas.
[3308.46 → 3310.74]  Por ejemplo, si hay
[3310.74 → 3313.70]  propuestas de personas que ya hayan sido
[3314.58 → 3315.10]  profesores
[3315.10 → 3316.56]  y están bien mejoras,
[3317.48 → 3318.78]  se puede dar un cupo ahí para eso.
[3319.02 → 3320.98]  Exacto. Y que además de que es la única
[3320.98 → 3322.70]  mujer que está sola
[3322.70 → 3324.60]  sentándola, que ha trabajado
