[30.00 → 31.26]  ¿Ya pusiste a grabar?
[1412.89 → 1414.17]  les recuerdo el nombre,
[1414.77 → 1416.99]  finanzas para los financieros, ofrece
[1416.99 → 1419.19]  herramientas para el análisis politológico
[1419.19 → 1421.19]  basados en la comprensión de los elementos
[1421.19 → 1423.19]  conceptuales, teóricos e institucionales
[1423.73 → 1425.53]  de la administración financiera.
[1425.75 → 1427.49]  Las finanzas además de ser
[1427.49 → 1429.55]  una competencia fundamental para la vida
[1429.55 → 1431.19]  como lenguaje de las relaciones económicas
[1431.77 → 1433.23]  permite al futuro politólogo
[1433.23 → 1435.11]  y politóloga comprender la realidad
[1435.11 → 1436.77]  económica nacional e internacional
[1436.77 → 1439.13]  y poseer la base para
[1439.13 → 1441.19]  fortalecer las habilidades relacionadas
[1441.19 → 1442.89]  con la toma de decisiones financieras
[1442.89 → 1444.87]  que conlleven a un eficaz uso
[1444.87 → 1447.01]  de los recursos económicos, dotándose
[1447.01 → 1449.43]  de las experiencias de indemnizadores
[1449.43 → 1451.11]  para la eficaz presentación
[1451.11 → 1453.27]  de servicios de comunidad.
[1459.65 → 1460.87]  Conciertos, bueno,
[1461.21 → 1462.41]  conciertos básicos,
[1462.53 → 1465.01]  ya como las unidades que manejaría
[1467.11 → 1468.87]  se da como
[1468.87 → 1470.63]  una primera acercamiento a conciertos
[1470.63 → 1473.07]  básicos como consentaje, valor del dinero,
[1473.65 → 1475.43]  interés, tasa de interés, flujo de caja,
[1475.43 → 1477.39]  los cálculos, días de fechas,
[1478.17 → 1479.09]  interés simple,
[1479.65 → 1482.69]  interés compuestos, tasas de interés,
[1485.73 → 1487.25]  y luego
[1487.25 → 1489.39]  se revisan como temas de anualidad
[1489.39 → 1491.33]  de desamortización y evaluación financiera
[1491.33 → 1493.13]  de proyectos.
[1493.23 → 1495.47]  Nuevamente como los conceptos que se
[1495.47 → 1496.83]  revisarían
[1497.43 → 1499.73]  en ese aspecto.
[1500.99 → 1504.43]  Y como tal la bibliografía que se va a manejar.
[1510.89 → 1511.99]  La forma
[1511.99 → 1512.73]  de evaluación
[1512.73 → 1514.61]  se revisaría en tema de asistencia,
[1514.99 → 1516.11]  participación, talleres
[1516.11 → 1517.83]  y parciales,
[1517.91 → 1519.59]  lo que maturaría serían los pasales
[1519.59 → 1520.99]  en 55%
[1520.99 → 1522.35]  a la hora.
[1524.13 → 1524.85]  ¿Cuál es el nombre?
[1525.99 → 1527.11]  Finanzas para los financieros.
[1527.11 → 1527.93]  No, no, no.
[1528.47 → 1529.89]  Julio César.
[1530.81 → 1531.47]  Julio César.
[1531.47 → 1533.27]  Julio César Andrade.
[1533.27 → 1535.27]  Inglés de la Surcolombiana.
[1539.27 → 1541.15]  Tenemos una propuesta de Juan Pablo Camacho
[1541.15 → 1543.33]  Selly, Acción Política y Organización
[1543.33 → 1544.07]  Colectiva.
[1563.91 → 1565.65]  Él es politólogo,
[1565.83 → 1567.61]  magista en una investigación social
[1569.27 → 1569.95]  interdisciplinaria.
[1570.51 → 1572.01]  Entonces ya contiendo si es politólogo
[1572.01 → 1573.51]  de acá.
[1576.93 → 1578.65]  Sí señor, politólogo de acá,
[1578.77 → 1580.39]  y la maestría en investigación social
[1581.29 → 1583.27]  interdisciplinaria es de la distrital.
[1587.59 → 1588.59]  Tiene como
[1590.63 → 1593.15]  tiene experiencia como
[1593.15 → 1594.49]  profesional,
[1596.77 → 1597.55]  en analítica,
[1597.67 → 1599.13]  proyecto de Colombia,
[1599.97 → 1600.83]  en CODES,
[1600.97 → 1602.61]  hizo la pasantía,
[1605.73 → 1607.51]  pero no tiene experiencia
[1607.51 → 1612.43]  como usuario.
[1612.89 → 1614.27]  ¿Cómo se llama?
[1614.75 → 1616.27]  Juan Pablo Camacho Selly.
[1617.87 → 1618.57]  Esta es la propuesta que
[1618.57 → 1620.55]  él da Acción Política y Organización
[1620.55 → 1621.61]  Colectiva.
[1623.53 → 1624.89]  Se trata de un curso
[1624.89 → 1626.95]  que proporciona experiencias y conocimientos
[1626.95 → 1628.77]  de la acción política particular y
[1628.77 → 1631.05]  colectiva que pueden contribuir a la transformación
[1631.05 → 1632.03]  social del país
[1632.57 → 1634.63]  desde las perspectivas teóricas y
[1634.63 → 1636.31]  prácticas relacionadas en el que hacer
[1636.31 → 1637.89]  profesional politológico
[1638.57 → 1640.71]  y las situaciones y acontecimientos
[1640.71 → 1641.93]  sociales del siglo XX.
[1642.27 → 1644.39]  Él y la estudiante pueden realizar
[1644.39 → 1646.49]  la apropiación de las posibilidades de desarrollo
[1646.49 → 1648.81]  profesional como politólogos
[1648.81 → 1650.51]  que se puedan evidenciar a partir
[1650.51 → 1652.31]  de análisis de estructuras de producción,
[1652.43 → 1654.77]  poder, participación política que se presentan
[1654.77 → 1656.41]  durante el curso. Esta materia
[1656.41 → 1658.37]  busca ampliar y diversificar
[1658.37 → 1660.41]  formas de posicionarse en el ámbito
[1660.41 → 1662.41]  político promoviendo el compromiso de
[1662.41 → 1664.39]  una habilidad para el desarrollo profesional.
[1665.25 → 1666.95]  Se busca con el curso identificar
[1666.95 → 1668.65]  fundamentos teóricos y prácticos
[1668.65 → 1670.35]  de la acción colectiva y particular
[1670.35 → 1672.27]  que reconozcan la práctica como
[1672.27 → 1674.33]  un ejercicio consciente de la construcción
[1674.33 → 1676.63]  de la realidad, ampliándola y diversificar
[1676.63 → 1678.41]  las oportunidades de perspectiva
[1678.41 → 1679.75]  del que hacer profesional.
[1683.87 → 1686.53]  Entonces, como tal, la propuesta del programa
[1686.53 → 1688.39]  se basa en la semana
[1688.39 → 1690.19]  dos tener un acercamiento
[1690.19 → 1692.43]  a fundamentos de acción política y organización
[1692.43 → 1693.85]  colectiva.
[1698.27 → 1702.49]  Luego, la acción política y organización
[1702.49 → 1704.59]  colectiva desde la educación popular,
[1705.95 → 1706.91]  comunitarismo,
[1708.77 → 1710.79]  de acción política y organización colectiva
[1710.79 → 1712.49]  en grandes relatos,
[1714.03 → 1716.49]  acción política y organización
[1717.05 → 1718.17]  colectiva nuevamente
[1718.17 → 1720.61]  desde la educación popular
[1720.61 → 1724.57]  y acción política particular
[1724.57 → 1726.79]  en el tema de representación y políticas
[1726.79 → 1728.13]  públicas.
[1728.37 → 1730.49]  También le da una semana a
[1730.49 → 1732.19]  partidos políticos, acción política
[1732.19 → 1734.13]  particular y partidos políticos
[1734.13 → 1735.73]  en democracia.
[1738.05 → 1740.49]  Esta es la bibliografía que tendría.
[1754.55 → 1756.71]  En la formada evaluación tendría
[1756.71 → 1758.41]  un informe de proyecto que vale
[1758.41 → 1760.63]  40%, la asistencia tendría
[1760.63 → 1762.45]  de 15%,
[1762.45 → 1764.59]  juicio de 15% y tendría un tema
[1764.59 → 1766.41]  de reseño de 30%.
[1774.29 → 1776.41]  El estado es nuestro pero no tiene
[1777.03 → 1778.41]  experiencia docentes.
[1779.95 → 1782.41]  Tenemos la propuesta de Natalia Gaune y Juan
[1783.11 → 1783.99]  Carlos Vargas,
[1784.53 → 1786.53]  que ellos son los que actualmente tienen
[1788.43 → 1790.25]  una materia por nosotros.
[1790.93 → 1792.03]  De la anterior,
[1792.49 → 1794.41]  que no tiene experiencia, que desde acá
[1795.37 → 1796.49]  son monitores,
[1796.57 → 1797.81]  una cosa así.
[1810.41 → 1812.65]  Creo que fue por representante estudiantil,
[1814.07 → 1814.21]  ¿no?
[1814.21 → 1816.77]  Me parece que sí.
[1816.91 → 1818.09]  Pues relaciona
[1818.09 → 1819.83]  como unos reconocimientos,
[1820.35 → 1822.43]  por ejemplo en una ccpol,
[1823.27 → 1824.13]  fue ponente
[1824.13 → 1826.11]  en una ccpol que es una regala que
[1827.61 → 1828.33]  pertencemos,
[1832.35 → 1834.53]  pero no, pues por lo menos
[1834.53 → 1836.05]  no relaciona nada
[1836.05 → 1838.03]  de monitores,
[1840.63 → 1841.87]  incluso la pasantía en codes,
[1841.87 → 1843.91]  pero no,
[1843.91 → 1845.13]  de monitores no dice nada.
[1850.01 → 1851.81]  Me parece que sí está.
[1872.83 → 1874.79]  ¿Cuántas propuestas hay en Israel?
[1875.31 → 1875.87]  8 propias.
[1878.31 → 1879.87]  Sería escoger 3.
[1882.89 → 1883.87]  Juan Carlos es
[1888.79 → 1889.75]  polígono.
[1890.87 → 1894.55]  Él es politólogo nuestro,
[1894.83 → 1896.07]  tiene la experiencia con nosotros
[1896.07 → 1897.25]  de este año,
[1898.27 → 1899.37]  el 2024,
[1902.13 → 1904.27]  y actualmente es asesor
[1904.27 → 1906.29]  en el Consejo Superior de la Judicatura,
[1906.29 → 1907.87]  ha trabajado en
[1908.47 → 1909.81]  la Defensibilidad del Pueblo
[1909.81 → 1912.27]  y en el Ministerio
[1912.27 → 1913.87]  de Construcción.
[1920.75 → 1921.63]  Y
[1923.55 → 1925.87]  Nantalia es abogada,
[1929.61 → 1930.63]  tiene una especializa
[1930.63 → 1931.83]  en el Derecho Público
[1931.83 → 1933.35]  en la Universidad de Extremadura
[1933.35 → 1935.99]  y con el Amar en Derecho Internacional
[1935.99 → 1937.75]  y Derechos Humanos.
[1938.13 → 1939.67]  También ha sido docente
[1939.67 → 1941.29]  ocasional nuestra, esta es la materia
[1941.29 → 1943.33]  que están dictando ellos ahorita,
[1943.41 → 1945.35]  metodologías y herramientas
[1945.35 → 1948.55]  indicadores para políticas públicas.
[1957.57 → 1959.83]  Una propuesta que ellos presentan ahorita,
[1960.13 → 1961.63]  prácticas estratégicas y herramientas
[1961.63 → 1967.93]  de la gestión de políticas públicas.
[1970.45 → 1971.55]  ¿Cómo se llama?
[1972.45 → 1972.93]  ¿La materia?
[1973.95 → 1976.11]  Prácticas, estrategias y herramientas
[1976.11 → 1978.03]  de la gestión de políticas públicas.
[1978.35 → 1978.53]  ¿Cómo se llama?
[1978.53 → 1980.33]  Objetivo general, brindar herramientas
[1980.33 → 1982.17]  conceptuales, metodológicas y prácticas
[1982.17 → 1983.75]  para la elaboración y segmentación
[1983.75 → 1985.71]  políticas públicas.
[1985.91 → 1988.23]  Objetivos específicos, identificar las principales
[1988.23 → 1990.13]  metodologías y herramientas de planificación
[1990.13 → 1992.83]  y evaluación de políticas públicas y proyectos,
[1993.05 → 1994.47]  dominar y aplicar conceptos
[1994.47 → 1996.39]  fundamentales de diseño e indicadores
[1996.39 → 1998.39]  tanto cuantitativos como cualitativos,
[1998.65 → 2000.47]  reconocer y utilizar de manera
[2000.47 → 2002.13]  básica zombar de bases de datos
[2002.13 → 2004.37]  cuantitativos y cualitativos esenciales
[2004.37 → 2006.33]  para el proceso de diagnóstico,
[2006.33 → 2008.01]  análisis y formulación y seguimiento
[2008.01 → 2010.55]  y políticas públicas de proyectos
[2010.55 → 2012.89]  y aplicar a través de ejercicios
[2012.89 → 2014.15]  prácticos la metodología
[2014.15 → 2016.39]  e instrumentos apuntados en situaciones
[2016.39 → 2018.81]  reales para la análisis y la gestión.
[2051.07 → 2053.87]  Bien, los conceptos, los contenidos básicos.
[2055.09 → 2056.69]  Entonces, un contexto de la acción
[2056.69 → 2058.87]  de estado de la planeación pública
[2058.87 → 2059.69]  en Colombia
[2061.23 → 2062.81]  y allí mismo se vería
[2062.81 → 2064.69]  políticas públicas de definición
[2064.69 → 2066.15]  al alcance de actores
[2066.15 → 2066.31]  y también
[2066.31 → 2068.41]  marcos metodológicos para el diseño
[2068.41 → 2070.31]  a políticas públicas.
[2072.19 → 2074.17]  Luego se revisaría un tema de nuevas
[2074.17 → 2075.89]  tendencias sobre políticas públicas
[2075.89 → 2077.51]  centralizadas en personas como
[2077.51 → 2079.33]  gobernante de innovación,
[2079.71 → 2082.07]  definición y diagnóstico de un problema público,
[2082.85 → 2084.61]  importancia de los datos y la información
[2084.61 → 2086.45]  de política pública para distribuir
[2086.45 → 2088.09]  y caracterizar fenómenos,
[2088.43 → 2090.17]  investigación cuantitativa,
[2090.51 → 2092.31]  medidas de tendencia e índices,
[2093.89 → 2095.95]  técnicas de investigación cuantitativa
[2095.95 → 2097.53]  o no todo esto sería como un tema
[2097.53 → 2098.75]  de investigación.
[2100.33 → 2101.21]  Cadena de valor,
[2101.49 → 2102.93]  un tema de acuerdo de objetivos,
[2103.13 → 2104.89]  actividades, productos y teorías
[2104.89 → 2106.13]  de cambio,
[2108.45 → 2109.55]  modelos para el seguimiento
[2109.55 → 2110.37]  monitoreo y
[2111.21 → 2112.37]  evaluación de políticas públicas,
[2113.23 → 2114.81]  tipo de formulación de indicadores,
[2115.03 → 2116.37]  actores externos que impactan
[2117.27 → 2118.43]  en política pública
[2118.43 → 2120.85]  y por último un tema de
[2120.85 → 2122.61]  metanote de oportunidad para proyectar
[2122.61 → 2124.43]  y comunicar la política.
[2124.97 → 2126.55]  Esta es la ideografía básica
[2127.59 → 2128.85]  que se manejaría
[2129.45 → 2130.85]  en el curso.
[2147.55 → 2151.13]  Y la forma de evaluación tendría
[2151.13 → 2152.43]  debates grupales,
[2152.59 → 2153.99]  cuises, talleres grupales,
[2154.35 → 2156.37]  ejercicio de manejo de datos,
[2157.25 → 2159.09]  tiene tres entregas
[2159.09 → 2160.73]  sobre un documento COMPES
[2160.73 → 2160.83]  y la forma de evaluación
[2161.81 → 2163.63]  y un taller grupal
[2163.63 → 2164.51]  de categorías.
[2176.97 → 2178.83]  Viene Mario David Arroyo
[2197.93 → 2199.31]  Es economista
[2199.31 → 2200.85]  en la Universidad de Nariño
[2200.85 → 2203.07]  tiene un máster en diseño, gestión
[2203.07 → 2204.79]  y dirección de proyectos
[2204.79 → 2208.15]  y un máster en economía.
[2209.01 → 2210.85]  No ha sido profesor nuestro.
[2214.11 → 2215.75]  Ha estado vinculado a la Universidad
[2215.75 → 2218.39]  external como conferencista ocasional
[2218.39 → 2220.19]  como docente del seminario de
[2220.19 → 2220.81]  valoración de economía.
[2220.81 → 2221.47]  Es una universidad económica de
[2221.47 → 2223.45]  adquisiciones públicas
[2223.45 → 2226.59]  y tiene su
[2226.59 → 2227.97]  trayectoria profesional
[2227.97 → 2229.93]  en la Agencia Nacional de Contratación
[2229.93 → 2232.81]  en la Alcantía de Bogotá.
[2234.39 → 2236.51]  También ha trabajado en la Usadita.
[2243.55 → 2245.63]  La experiencia que tiene como docente
[2245.63 → 2247.11]  es en el external.
[2255.71 → 2256.43]  Dice...
[2260.15 → 2260.87]  Dice...
[2260.87 → 2262.91]  Conferencista ocasional no dice cuánta
[2262.91 → 2264.81]  tiempo fue específicamente de docente.
[2271.37 → 2272.17]  No, no dice.
[2273.77 → 2274.87]  Bien, la propuesta
[2274.87 → 2276.97]  planificación gubernamental y herramientas
[2276.97 → 2278.87]  para la identificación de variables clave
[2278.87 → 2280.87]  en proyectos y políticas públicas.
[2283.01 → 2284.91]  Objetivos generales, estrategias de
[2284.91 → 2286.51]  identificación de variables que tienen
[2286.51 → 2288.39]  un impacto significativo en el futuro
[2288.39 → 2290.23]  de un proyecto de política pública.
[2291.61 → 2292.67]  Objetivos específicos
[2292.67 → 2294.87]  conocer los fundamentos de planeación
[2295.39 → 2296.37]  pública en Colombia.
[2296.65 → 2298.83]  Identificar objetivos generales
[2298.83 → 2300.57]  específicos, productos y actividades
[2300.57 → 2302.23]  de un proyecto de política pública
[2302.87 → 2304.67]  susceptible de ser llevada a la
[2304.67 → 2306.83]  práctica en base a la planificación
[2306.83 → 2309.17]  en perspectiva y conocer
[2309.17 → 2310.75]  y utilizar herramientas técnicas
[2310.75 → 2312.49]  de planificación por
[2312.49 → 2314.83]  perspectiva para la categorización
[2315.49 → 2317.57]  de variables en base a los cálculos
[2317.57 → 2319.33]  de influencias y dependencias
[2319.33 → 2321.33]  de matriz de impactos
[2321.33 → 2323.03]  cruzados.
[2326.15 → 2327.13]  Contenidos básicos,
[2327.23 → 2328.77]  un tema de fundamentación
[2328.77 → 2331.15]  de aspectos de planificación en Colombia.
[2331.59 → 2332.77]  Fundamentación sobre
[2332.77 → 2334.93]  políticas y proyectos
[2336.07 → 2336.71]  públicos.
[2337.21 → 2338.45]  Allí se ve el arbol de problemas
[2338.45 → 2340.23]  objetivos, definición de intervenciones
[2340.23 → 2342.11]  política pública y cadena de valor,
[2342.45 → 2344.21]  asentamiento a la planificación
[2344.21 → 2346.51]  por perspectiva.
[2346.89 → 2349.15]  Un tema de identificación de variables
[2349.15 → 2350.87]  que tienen un impacto significativo
[2350.87 → 2352.13]  en el futuro proyecto.
[2352.45 → 2354.53]  Herramientas tecnológicas de planificación
[2354.53 → 2356.21]  en perspectiva para la categorización
[2356.21 → 2359.25]  de variables a los cálculos de influencias.
[2359.89 → 2361.09]  Identificación de variables
[2361.09 → 2362.65]  de un sistema de interacciones
[2362.65 → 2364.37]  en perspectivas.
[2366.69 → 2368.93]  Tiene un ejercicio, temas de ejercicios
[2368.93 → 2370.69]  prácticos que es la elaboración de matriz
[2370.69 → 2372.67]  de impactos cruzados, elaboración de
[2372.67 → 2374.73]  arbol de problemas, definición de indicadores
[2374.73 → 2376.71]  y una definición de variables
[2376.71 → 2378.87]  y esta es la bibliografía básica
[2378.87 → 2380.65]  que presenta.
[2389.39 → 2391.11]  Y en temas de evaluación
[2391.11 → 2392.69]  que tendrán unos talleres
[2392.69 → 2394.49]  que ya los nombramos
[2395.11 → 2397.47]  y unos cuises
[2397.47 → 2399.55]  que son los cuises representativos
[2399.55 → 2401.11]  del 10% del arbol.
[2408.55 → 2409.79]  Tenemos el Juan Camilo
[2409.79 → 2411.11]  Lozada, ya vamos a ver.
[2427.61 → 2429.25]  Juan Camilo está cursando
[2429.25 → 2431.61]  la maestría en Políticas Públicas
[2431.61 → 2433.27]  de acá y es poliotólogo
[2433.27 → 2438.15]  ingresado de acá de la universidad.
[2443.41 → 2445.29]  Tiene una experiencia
[2445.29 → 2447.09]  en la Facultad de Ciencias Económicas
[2447.09 → 2449.27]  como docente de un curso de extensión.
[2450.51 → 2451.09]  Tiene una experiencia en la Facultad
[2451.09 → 2452.85]  y su trayectoria
[2452.85 → 2455.05]  profesional en las cantidades
[2455.05 → 2455.61]  acusadas.
[2469.89 → 2471.91]  El nombre de la asignatura
[2473.09 → 2475.47]  asociatividad territorial y participación ciudadana
[2475.47 → 2477.01]  reflexiones sobre la cooperación
[2477.01 → 2478.59]  en tiempo de individualismo.
[2481.09 → 2482.89]  Objetivo general, comprende
[2482.89 → 2485.05]  analizar críticamente los procesos
[2485.05 → 2487.45]  de asociatividad territorial y participación
[2487.45 → 2488.97]  ciudadana como herramientas para
[2488.97 → 2490.71]  fortalecer la planificación pública
[2490.71 → 2493.13]  y construir alternativas
[2493.13 → 2494.89]  de desarrollo inclusivas
[2494.89 → 2496.39]  y sostenibles.
[2497.09 → 2499.21]  Específico, científica los fundamentos históricos
[2499.21 → 2501.17]  y conceptuales de asociatividad
[2501.17 → 2503.09]  territorial, explorar experiencias
[2503.61 → 2505.17]  internacionales y nacionales
[2505.17 → 2506.83]  que ilustren éxitos y desafíos
[2506.83 → 2508.21]  en procesos asociativos,
[2508.21 → 2510.71]  analizar la normatividad colombiana
[2510.71 → 2512.31]  relacionada con la asociatividad
[2512.31 → 2514.41]  territorial y participación ciudadana
[2514.41 → 2516.21]  y por cuanto promover estrategias
[2516.73 → 2518.13]  innovadoras de fomentar
[2518.13 → 2520.39]  la participación ciudadana en procesos
[2520.39 → 2521.17]  asociativos.
[2523.09 → 2524.61]  El contenido de la asignatura
[2524.61 → 2526.63]  introducción sobre procesos fundamentales
[2526.63 → 2528.45]  la asociatividad, participación y
[2528.45 → 2530.41]  desarrollo, la asociatividad
[2530.41 → 2532.39]  como la historia humana desde las primeras
[2532.39 → 2534.21]  comunidades hasta las organizaciones internacionales,
[2535.35 → 2536.79]  asociatividad de la comunidad
[2536.79 → 2538.79]  internacional, casos del broteo europeo
[2538.79 → 2541.29]  africano, contextos regionales
[2541.29 → 2543.01]  de asociatividad territorial,
[2543.55 → 2545.13]  participación ciudadana y su papel
[2545.13 → 2546.79]  en la asociatividad,
[2549.25 → 2550.87]  análisis crítico y
[2550.87 → 2552.09]  proyección.
[2554.97 → 2556.75]  Y una unidad de cierre que es una
[2556.75 → 2558.69]  evaluación final y
[2559.89 → 2560.69]  proyección.
[2564.51 → 2567.75]  ¿Cómo se manejaría la clase?
[2569.49 → 2581.21]  ¿Cómo se manejaría la clase?
[2582.55 → 2587.77]  Forma de evaluación,
[2587.77 → 2590.17]  participación en el
[2590.17 → 2591.77]  debate primero el 25%,
[2592.49 → 2593.99]  participación en el segundo debate
[2593.99 → 2595.97]  el 25% y una
[2595.97 → 2597.55]  evaluación final correspondiente del
[2602.53 → 2603.27]  50%.
[2610.41 → 2612.21]  La pena última,
[2612.87 → 2614.75]  la ya la tengo en Belandia Sanchez,
[2617.77 → 2619.77]  la temeración es
[2636.51 → 2637.91]  laège
[2637.91 → 2638.07]  derecho
[2638.07 → 2639.27]  administrativo
[2644.89 → 2647.69]  y el derecho
[2647.69 → 2647.75]  ¿Qué hay en el
[2650.65 → 2663.59]  Aún no tiene experiencia en la Sociedad de Activos Especiales y a la Vicerrectoría de Investigaciones de la Universidad y en de Justicia.
[2664.35 → 2669.75]  No tiene ni, por lo que veo, trayectoria académica.
[2669.75 → 2678.45]  Aún no tiene experiencia en la Sociedad de Activos Especiales y a la Vicerrectoría de Investigaciones de la Universidad y en de Justicia.
[2679.29 → 2683.57]  Aún no tiene experiencia en la Sociedad de Activos Especiales y a la Vicerrectoría de Investigaciones de la Universidad y en de Justicia.
[2684.83 → 2699.27]  No tiene ni, por lo que veo, trayectoria académica.
[2715.79 → 2729.73]  No tiene ni, por lo que veo, trayectoria académica.
[2750.35 → 2759.67]  No tiene ni, por lo que veo, trayectoria académica.
[2789.75 → 2791.75]  No tiene ni, por lo que veo, trayectoria académica.
[2824.05 → 2836.09]  Alexander es estudiante de Políticas Públicas, politólogo de acá, con especialización en finanzas de la Universidad del Rosario.
[2841.25 → 2848.23]  El juevesario de la Matería de Gobernación de Políticas Públicas de Acadencia Política con el portal de Hamburg.
[2849.75 → 2857.85]  Y trabaja en la Secretaría Institutal del Gobierno y coordinando el área de gestante de desarrollo local y planeación.
[2859.25 → 2871.85]  La propuesta que plantea Bogotá en clase de Políticas Públicas tiene como objetivo analizar las dinámicas del gobierno urbano y desarrollar políticas públicas en Bogotá.
[2872.43 → 2885.53]  Integrando enfoques teóricos contemporáneos y perspectivas comparadas para promover un análisis crítico sobre la toma de decisiones y sus implicaciones en el contexto urbano.
[2885.53 → 2910.05]  Contenidos básicos, ciudades en América Latina, Bogotá y administración pública, introducción a las políticas públicas, teoría relacional y análisis, posteo y beneficio, enfoque pluralista y de interés global, teoría de la elección pública, ciclo de políticas públicas, enfoque institucional, enfoque gobernante y redes,
[2910.05 → 2925.05]  enfoque en teoría constructivista, políticas basadas en la evidencia, perspectiva sobre el gobierno urbano y una evaluación final de la bibliografía que se manejaría.
[2934.67 → 2951.37]  Y la forma de evaluación, tendrían 3% de asistencia, quizes del 30%, satires en grupo del 30%, ensayo de 12 entregas, la primera con el 10% y la segunda con el 30% de la número.
[2952.03 → 2955.55]  Esas son las propuestas en el área de gobierno político.
[2961.39 → 2966.35]  La gracia sería que se escogieran de estas ocho propuestas tres.
[2968.61 → 2971.37]  Dice que uno dice el dicho y baila en ese trompo en la unión.
[2975.09 → 2985.41]  Creo que el de prácticas y estrategias, creo que hubo consenso en el que fama quedan los usos a todos, nos pareció interesante, creo que es allá.
[2986.01 → 2993.37]  Bueno, también lo bueno es que ellos ya tienen experiencia con nosotros, sí, ellos ya han tenido experiencia también.
[2994.37 → 2998.27]  Se puede ser un quitario de los que ya han tenido y están bien evaluados.
[3005.27 → 3014.55]  Desde ciencia política no se ofertó, quién sabe si se ofertó desde otra y si no sabría.
[3024.03 → 3027.45]  Tocaría buscarlo en policía, porque no hay problemas en nuestras.
[3042.07 → 3046.37]  Igual de acá, que tenga experiencia de docente.
[3049.61 → 3054.91]  Creo que Camila tenía experiencia de docente, David Leonardo también tenía experiencia de docente.
[3058.75 → 3062.37]  Me gusta mucho la asociatividad territorial y participación.
[3068.15 → 3069.59]  Podemos volverla a ver si quieren.
[3078.23 → 3081.37]  Tres, dos, uno, dos, tres.
[3087.23 → 3087.99]  Es esta.
[3091.73 → 3094.71]  ¿Es de Chico de Narillo?
[3096.37 → 3097.53]  No, es de Lozano, ¿no?
[3098.15 → 3099.37]  Sí, Lozano.
[3102.81 → 3103.37]  O Camila Lozano.
[3108.61 → 3113.55]  Bueno, él está estudiando la maestría de acá.
[3114.05 → 3114.69]  ¿Ah, donde está estudiando?
[3115.33 → 3121.57]  Sí, lo está guiando el profesor Miguel Ángel y después lo puede acá.
[3121.67 → 3125.55]  Pues al estar estudiando maestría, podemos vincularlo con vocacional.
[3127.35 → 3133.43]  Y el único es que él dictó un curso en ciencias humanas, pero fue un curso de extensión.
[3133.43 → 3140.91]  O sea, como tal en pregrado eso, no tiene experiencia, como para que lo tenga.
[3146.39 → 3150.39]  Tienes razón, pero no las están dictando en ciencia política, sino en derecho.
[3152.37 → 3154.03]  ¿Y qué profesor es?
[3162.85 → 3163.41]  Dice...
[3163.41 → 3170.61]  Por eso pensé que...
[3172.85 → 3175.67]  ¿Qué quieren mirar? ¿Revisan nuevamente los contenidos?
[3180.49 → 3182.83]  Diego David Aldana Carrillo.
[3183.69 → 3184.53]  No, eso es otro.
[3185.21 → 3187.09]  Este es Brian Aldo.
[3187.09 → 3193.33]  Pero sí tiene el mismo nombre, un curso de introductores sobre cannabis, aspectos reguladores, sociales y técnicos.
[3193.59 → 3193.63]  Sí.
[3196.93 → 3199.09]  ¿Será que son del mismo grupo de investigación?
[3199.21 → 3201.19]  De pronto, puede ser.
[3201.37 → 3204.09]  Porque él decía que...
[3208.95 → 3214.99]  Creo que él tenía al grupo Ulises como referencia.
[3215.07 → 3216.27]  Como referencia.
[3218.77 → 3220.09]  Bueno, me quiero apoyar.
[3225.23 → 3227.61]  No hay propuestas de profesoras, ¿no?
[3228.29 → 3229.39]  Solamente hay una.
[3229.47 → 3231.17]  Solamente la que ya se ha escogido.
[3233.23 → 3233.37]  Esta.
[3234.77 → 3235.63]  La primera propuesta.
[3235.83 → 3236.21]  La primera.
[3236.57 → 3238.05]  La primera propuesta.
[3238.23 → 3239.17]  Están tocando la puerta.
[3240.09 → 3244.05]  Mami, Andrea, introducción a la identificación y preparación de proyectos de desarrollo.
[3244.33 → 3246.09]  Pues hay varios que son de proyectos.
[3247.21 → 3248.51]  Estas de proyectos.
[3248.51 → 3252.59]  No hay propuestas por incluye el tema de lo de los plantas de desarrollos.
[3253.23 → 3254.67]  Que es muy importante hacer algo.
[3255.33 → 3256.73]  Esa me ha gustado mucho.
[3257.71 → 3259.35]  Porque esa es de proyecto.
[3259.97 → 3262.41]  Y hay otra de proyecto que si no estoy mal es esta.
[3263.69 → 3265.09]  Que este es el profesor de la subcolombiana.
[3269.27 → 3272.15]  Si quieren algo de proyectos, podemos escoger entre los dos.
[3272.79 → 3275.17]  Me deja ver otra vez el profesor de la subcolombiana.
[3275.77 → 3276.77]  Del profesor de la subcolombiana.
[3276.77 → 3277.77]  Sí, el plan de estudio.
[3287.65 → 3290.27]  Lo importante es que haya criterios, ¿no?
[3292.25 → 3293.77]  Porque, pues, todas parecen interesantes.
[3294.69 → 3296.59]  No una le puede gustar más a uno, cierta a la otra.
[3297.27 → 3297.63]  Sí.
[3297.63 → 3300.77]  Pero eso no puede ser el punto tampoco porque hay que tener cierta...
[3302.97 → 3306.77]  Desarrollo a cierto juicio de equidad con respecto a las propuestas.
[3308.47 → 3312.77]  Por ejemplo, si hay propuestas de personas que ya hayan sido...
[3313.81 → 3314.35]  Profesores.
[3314.57 → 3317.21]  Profesores y están bien mejorados.
